Tiempo|Numero Est.|Cola por estacionamiento|Tipo de evento|Autos en sistema
0,7,-1,Salida,-1
147005.3,2,-1,Salida,-2
147006.8,4,-1,Salida,-3
147009.1,9,-1,Salida,-4
147010.2,0,-1,Salida,-5
147016.6,2,-2,Salida,-6
147019.3,9,0,Llegada,-5
147024.4,1,1,Llegada,-4
49.4,9,1,Llegada,-3
53.5,4,0,Llegada,-2
86.9,7,0,Llegada,-1
102.6,8,1,Llegada,0
129.5,6,1,Llegada,1
138.8,7,1,Llegada,2
200.9,6,2,Llegada,3
213.7,6,3,Llegada,4
253.9,4,-1,Salida,3
274.3,5,1,Llegada,4
279.0,7,2,Llegada,5
285.7,7,1,Salida,4
296.2,1,2,Llegada,5
340.2,5,0,Salida,4
358.9,2,-1,Llegada,5
362.9,7,0,Salida,4
367.1,7,1,Llegada,5
392.8,2,-2,Salida,4
398.3,1,1,Salida,3
404.1,9,0,Salida,2
417.7,8,0,Salida,1
441.9,7,0,Salida,0
466.0,2,-1,Llegada,1
494.1,6,4,Llegada,2
531.8,6,3,Salida,1
549.6,0,0,Llegada,2
553.1,7,-1,Salida,1
585.9,6,2,Salida,0
586.0,4,0,Llegada,1
592.1,6,1,Salida,0
612.5,4,-1,Salida,-1
616.3,2,-2,Salida,-2
649.0,4,0,Llegada,-1
649.5,6,0,Salida,-2
655.5,7,0,Llegada,-1
682.2,8,1,Llegada,0
706.6,8,0,Salida,-1
708.1,1,2,Llegada,0
716.3,3,1,Llegada,1
749.3,3,2,Llegada,2
750.7,8,1,Llegada,3
767.6,4,1,Llegada,4
810.5,9,1,Llegada,5
814.0,9,0,Salida,4
835.1,8,2,Llegada,5
848.3,8,1,Salida,4
868.7,7,-1,Salida,3
873.2,7,0,Llegada,4
911.7,3,3,Llegada,5
938.6,5,1,Llegada,6
940.6,5,2,Llegada,7
945.2,3,4,Llegada,8
956.5,1,1,Salida,7
968.3,5,1,Salida,6
970.3,2,-1,Llegada,7
978.7,9,1,Llegada,8
984.7,5,0,Salida,7
1010.8,5,1,Llegada,8
1022.9,9,0,Salida,7
1023.2,6,1,Llegada,8
1062.7,5,0,Salida,7
1076.9,0,-1,Salida,6
1078.2,2,-2,Salida,5
1087.2,4,0,Salida,4
1115.7,7,-1,Salida,3
1120.2,8,2,Llegada,4
1141.1,2,-1,Llegada,5
1162.8,2,0,Llegada,6
1173.3,0,0,Llegada,7
1198.6,4,-1,Salida,6
1247.6,2,1,Llegada,7
1265.1,8,1,Salida,6
1272.6,9,1,Llegada,7
1329.6,3,3,Salida,6
1364.7,4,0,Llegada,7
1405.0,1,0,Salida,6
1409.6,3,2,Salida,5
1429.7,8,2,Llegada,6
1433.5,9,0,Salida,5
1475.3,4,-1,Salida,4
1488.5,9,1,Llegada,5
1488.8,2,2,Llegada,6
1505.0,9,0,Salida,5
1535.8,2,3,Llegada,6
1546.1,8,3,Llegada,7
1547.5,9,1,Llegada,8
1599.0,9,2,Llegada,9
1602.1,2,2,Salida,8
1622.3,3,1,Salida,7
1623.0,2,1,Salida,6
1641.3,0,1,Llegada,7
1698.0,0,0,Salida,6
1702.2,8,4,Llegada,7
1723.9,2,0,Salida,6
1736.1,8,3,Salida,5
1763.8,8,2,Salida,4
1782.0,2,-1,Salida,3
1783.0,8,3,Llegada,4
1800.9,9,3,Llegada,5
1835.7,6,2,Llegada,6
1848.1,9,2,Salida,5
1859.3,1,1,Llegada,6
1860.6,7,0,Llegada,7
1872.1,3,2,Llegada,8
1873.4,4,0,Llegada,9
1874.6,2,0,Llegada,10
1908.3,0,-1,Salida,9
1916.7,7,1,Llegada,10
1925.9,7,0,Salida,9
1927.0,6,3,Llegada,10
1938.3,9,1,Salida,9
1940.0,4,-1,Salida,8
1948.4,7,-1,Salida,7
1970.1,8,4,Llegada,8
1983.2,2,-1,Salida,7
2017.1,6,2,Salida,6
2019.8,4,0,Llegada,7
2026.6,9,2,Llegada,8
2036.0,9,3,Llegada,9
2036.5,6,1,Salida,8
2040.9,1,0,Salida,7
2072.2,8,3,Salida,6
2079.6,8,2,Salida,5
2089.2,6,0,Salida,4
2093.9,7,0,Llegada,5
2103.4,4,-1,Salida,4
2146.1,9,2,Salida,3
2151.7,3,1,Salida,2
2178.9,7,1,Llegada,3
2183.1,8,3,Llegada,4
2206.9,0,0,Llegada,5
2213.7,6,1,Llegada,6
2220.9,1,1,Llegada,7
2225.5,4,0,Llegada,8
2241.2,4,-1,Salida,7
2246.6,4,0,Llegada,8
2253.1,1,0,Salida,7
2258.4,3,2,Llegada,8
2264.9,3,3,Llegada,9
2285.9,0,-1,Salida,8
2287.2,6,2,Llegada,9
2300.7,2,-2,Salida,8
2313.9,2,-1,Llegada,9
2324.5,8,2,Salida,8
2325.7,3,2,Salida,7
2326.3,4,1,Llegada,8
2326.8,5,1,Llegada,9
2345.4,3,1,Salida,8
2351.8,9,1,Salida,7
2356.1,4,2,Llegada,8
2361.7,9,2,Llegada,9
2401.1,7,0,Salida,8
2415.6,7,-1,Salida,7
2420.4,4,1,Salida,6
2427.3,8,1,Salida,5
2430.4,2,-2,Salida,4
2463.6,6,3,Llegada,5
2502.1,5,0,Salida,4
2525.5,5,1,Llegada,5
2528.9,8,0,Salida,4
2531.3,1,1,Llegada,5
2546.8,2,-1,Llegada,6
2557.6,4,2,Llegada,7
2561.5,2,-2,Salida,6
2575.3,5,0,Salida,5
2580.8,3,2,Llegada,6
2587.4,8,1,Llegada,7
2587.8,6,4,Llegada,8
2590.7,3,3,Llegada,9
2592.8,3,2,Salida,8
